question,text,10/Random
Question: what is the name of the island in jurassic park,"Context1: Jurassic Park: The title 'Jurassic Park' refers to the fictional island owned by the character John Hammond where dinosaurs are genetically engineered and displayed for visitors. The island is named Isla Nublar and is located near Costa Rica.
Question: what is the name of the island in jurassic park
Are follow up questions needed here: No.
So the final answer is: Isla Nublar ###","[[(False, False)]]"
Question: when was serena williams born,"Context1: Serena Williams: Serena Jameka Williams, born September 26, 1981, is an American professional tennis player and former world No. 1 in women's single tennis. She has won 23 Grand Slam singles titles.
Question: when was serena williams born
Are follow up questions needed here: No.
So the final answer is: September 26, 1981 ###","[[(False, False)]]"
Question: when was the great gatsby published,"Context1: The Great Gatsby: Published in 1925, The Great Gatsby is a novel written by American author F. Scott Fitzgerald that follows a cast of characters living in the fictional towns of West Egg and East Egg on prosperous Long Island in the summer of 1922.
Question: when was the great gatsby published
Are follow up questions needed here: No.
So the final answer is: 1925 ###","[[(False, False)]]"
Question: who was the third president of the united states,"Context1: Thomas Jefferson: Thomas Jefferson was an American statesman, diplomat, lawyer, architect, and Founding Father who served as the third president of the United States from 1801 to 1809. He is known for drafting the Declaration of Independence.
Question: who was the third president of the united states
Are follow up questions needed here: No.
So the final answer is: Thomas Jefferson ###","[[(False, False)]]"
Question: who is the eiffel tower named after,"Context1: Eiffel Tower: The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower.
Question: who is the eiffel tower named after
Are follow up questions needed here: No.
So the final answer is: Gustave Eiffel ###","[[(False, False)]]"
Question: when was microsoft windows first released,"Context1: Microsoft Windows: Microsoft Windows, commonly referred to as Windows, is a group of several proprietary graphical operating system families, all of which are developed and marketed by Microsoft. It was first released on November 20, 1985.
Question: when was microsoft windows first released
Are follow up questions needed here: No.
So the final answer is: November 20, 1985 ###","[[(False, False)]]"
Question: who was the first woman to win a nobel prize,"Context1: Marie Curie: Marie Skłodowska Curie was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize and the only person to win a Nobel in two different sciences.
Question: who was the first woman to win a nobel prize
Are follow up questions needed here: No.
So the final answer is: Marie Curie ###","[[(False, False)]]"
Question: who composed the music for the lion king,"Context1: The Lion King: Elton John is among the artists who contributed to the soundtrack of The Lion King, composing classics including ""Circle of Life"" and ""Can You Feel the Love Tonight"" with lyricist Tim Rice.
Question: who composed the music for the lion king
Are follow up questions needed here: No.
So the final answer is: Elton John ###","[[(False, False)]]"
Question: who developed java,"Context1: Java Programming Language: Java is a high-level, class-based, object-oriented programming language that is designed to have as few implementation dependencies as possible. It was originally developed by James Gosling at Sun Microsystems and released in 1995.
Question: who developed java
Are follow up questions needed here: No.
So the final answer is: James Gosling ###","[[(False, False)]]"
Question: when did world war ii start,"Context1: World War II: World War II was a global war that lasted from 1939 to 1945. It involved the vast majority of the world's countries—including all of the great powers—eventually forming two opposing military alliances: the Allies and the Axis.
Question: when did world war ii start
Are follow up questions needed here: No.
So the final answer is: 1939 ###","[[(False, False)]]"
Question: who painted the mona lisa,"Context1: The Mona Lisa: The Mona Lisa is an oil painting by Italian artist, inventor, and writer Leonardo da Vinci. Considered an archetypal masterpiece of the Italian Renaissance, it has been described as ""the best known, the most visited, the most written about, the most sung about, the most parodied work of art in the world.""
Question: who painted the mona lisa
Are follow up questions needed here: No.
So the final answer is: Leonardo da Vinci ###","[[(False, False)]]"
Question: where is mount everest located,"Context1: Mount Everest: Mount Everest is Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas. The China–Nepal border runs across its summit point.
Question: where is mount everest located
Are follow up questions needed here: No.
So the final answer is: On the China-Nepal border ###","[[(False, False)]]"
Question: what did albert einstein theorize,"Context1: Albert Einstein: Albert Einstein was a theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics. His work is also known for its influence on the philosophy of science.
Question: what did albert einstein theorize
Are follow up questions needed here: No.
So the final answer is: Theory of relativity ###","[[(False, False)]]"
Question: where is shakespeare's hamlet set,"Context1: Hamlet: Hamlet is a tragedy written by William Shakespeare at an uncertain date between 1599 and 1601. It tells the story of Prince Hamlet, and is set in Denmark.
Question: where is shakespeare's hamlet set
Are follow up questions needed here: No.
So the final answer is: Denmark ###","[[(False, False)]]"
Question: where is mount kilimanjaro located,"Context1: Mount Kilimanjaro: Mount Kilimanjaro is a dormant volcano in Tanzania. It is the highest mountain in Africa and rises approximately 4,900 meters (16,100 ft) from its base to 5,895 meters (19,341 ft) above sea level.
Question: where is mount kilimanjaro located
Are follow up questions needed here: No.
So the final answer is: Tanzania ###","[[(False, False)]]"
